Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
Werrington,-33.75920751,150.7574014
West Ryde,-33.80746637,151.0905793
Westmead,-33.80864182,150.9876577
Wiley Park,-33.92270486,151.0680185
Windsor,-33.61292723,150.8090296
Wingello,-34.69233579,150.1583818
Wirragula,-32.46292679,151.7424687
Wolli,-33.92884985,151.1538917
Wollongong,-34.42698795,150.8884363
Wollstonecraft,-33.83245952,151.1921823
Wombarra,-34.27530416,150.9535083
Wondabyne,-33.49202131,151.2571482
Woodford,-33.7357511,150.4821963
Woolooware,-34.04741225,151.1437622
Woonona,-34.34939351,150.9153897
Woy Woy,-33.48527377,151.3237255
Wyee,-33.17984054,151.48724
Wynyard,-33.86524696,151.20397
Wynyard LR,-33.86670287,151.2070738
Wyong,-33.2853325,151.4255494
Yagoona,-33.90733106,151.0246767
Yennora,-33.86502912,150.9707162
Yerrinbool,-34.37159251,150.5434481
Tallawong Metro,-33.6931,150.9030, 
Rouse Hill Metro,-33.6822,150.9181, 
Kellyville Metro,-33.7117,150.9494, 
Bella Vista Metro,-33.7341,150.9570, 
Norwest Metro,-33.7430,150.9630, 
Hills Showground Metro,-33.7456,150.9915, 
Castle Hill Metro,-33.7306,151.0050, 
Cherrybrook Metro,-33.7330,151.0380, 
Epping Metro,-33.7720,151.0820, 
Macquarie University Metro,-33.7760,151.1190, 
Macquarie Park Metro,-33.7850,151.1310, 
North Ryde Metro,-33.7920,151.1390, 
Chatswood Metro,-33.7963,151.1790, 
Crows Nest Metro,-33.8260,151.1990, 
Victoria Cross Metro,-33.8390,151.2070, 
Barangaroo Metro,-33.8590,151.2040, 
Martin Place Metro,-33.8675,151.2110, 
Gadigal Metro,-33.8730,151.2150, 
Waterloo Metro,-33.8920,151.2090, 
Sydenham Metro,-33.9140,151.1750, 
Bankstown Metro,-33.9170,151.0340
Ferry Abbotsford,-33.84375,-151.12819
Ferry Balmain,-33.85456,151.18622
Ferry Balmain East,-33.85683,151.19617
Ferry Barangaroo Wharf 1,-33.86433,151.20092
Ferry Barangaroo Wharf 2,-33.86470,151.20097
Ferry Birchgrove,-33.84647,151.18639
Ferry Cabarita,-33.84094,151.11647
Ferry Chiswick,-33.84558,151.14178
Ferry Circular Quay Wharf 2,-33.86075,151.21206
Ferry Circular Quay Wharf 3,-33.86067,151.21150
Ferry Circular Quay Wharf 4,-33.86064,151.21100
Ferry Circular Quay Wharf 5,-33.86058,151.21050
Ferry Cockatoo Island,-33.84556,151.17325
Ferry Cremorne Point,-33.84797,151.23103
Ferry Darling Point,-33.86650,151.23953
Ferry Double Bay,-33.87314,151.24256
Ferry Drummoyne,-33.84544,151.15717
Ferry Garden Island,-33.85814,151.22994
Ferry Greenwich Point,-33.85878,151.18078
Ferry Huntleys Point,-33.84217,151.14194
Ferry Kirribilli,-33.84940,151.21992
Ferry Kissing Point,-33.83169,151.10194
Ferry Kurraba Point,-33.84345,151.22178
Ferry Manly,-33.80039,151.28392
Ferry McMahons Point,-33.84869,151.20644
Ferry Meadowbank,-33.82119,151.09042
Ferry Milsons Point Wharf 1,-33.84933,151.21050
Ferry Milsons Point Wharf 2,-33.84994,151.21106
